questions
Hebben jullie een samenvatting voor als ik me wil voorbereiden voor me studie 
Waar vindt ik samenvattingen die betrouwbaar zijn 
Zijn er voorbeeldtentamens die ik alvast kan inlezen  
hoeveel tentamens heb je per vak dat je volgt?
zijn de tentamens bij deze opleiding voornamelijk engelstalig of ook in het nederlands?
hoe is de aansluiting van toetsing bij de inhoud van de opleiding?
is het van te voren goed duidelijk wat je moet leren voor een tentamen?
hoe is de kwaliteit van de toetsing ?
welke toetsvormen worden gebruikt bij deze opleiding? 
"krijg je op al je opdrachten, verslagen bruikbare feedback of alleen een cijfer?"
Wat voor soort vervolgstudie of werk doen studenten na deze studie?
Is (studie) de beste keuzes als ik later (x) wil 
hoe is de aansluiting van deze opleiding op de beroepspraktijk?
helpen jullie ook met het vinden van werk als ik klaar ben met studeren 
is een studievereniging een goede manier om later een betere baan te krijgen?
"Ik heb problemen met mijn huisbaas,"
Is het mogelijk een betalingsregeling te treffen voor het collegegeld?
"Ik snap het leenstelsel niet, klopt het dat je pas rente betaald als je bent afgestudeerd?"
 Wanneer kom ik in aanmerking voor een aanvullende beurs en hoe moet ik deze aanvragen?
"Ik wil een van mijn ouders uit de ouderlijke macht zetten, kan ik hier hulp bij krijgen?"
Wat is de bovengrens aan bijverdienen als student?
Kan je je collegegeld en gemaakte studiekosten aftrekken van de belasting?
Wanneer krijg ik huurtoeslag?
als ik me uitschrijf voor de tentamens kan ik dan me gekld terug krijgen van me studie 
heb ik voor deze studie een laptop nodig (voor deze studie) 
maakt het uit of ik een macbook of android laptop heb?
"ik heb gelezen dat we met SPSS (biomed spec)  gaan werken, kan ik dit op me iegen laptop doen?"
wanneer kan je studiefinanciering aanvragen als scholier die gaat studeren? ook al in de zomervakantie recht op geld?
wanneer heb je recht op een aanvullende beurs?
"Als ik geld leen bij DUO wanneer moet ik het dan terugbetalen, gelijk als ik klaar ben met de studie?"
"ik wil niet lenen bij DUO want ik mag niet lenen van mijn geloof, maar een bijbaan naast me studie werkt ook niet (te zwaar) hoe los ik dit op "
"van me broer mag ik niet lenen bij DUO vanwege de rente, biedt de UVA een andere oplossing "
ik hoorde dat ik een beurs kon krjgen (uni beurs/ DUO / fondsen/ gemeente) → x10 
hoe weet ik of ik recht heb op een aanvullende beurs 
hoe vraag ik een aanvullende beurs aan 
heeft duo echt het ikkomen van me ouders nodig voor me aanvullende beurs → 
"ik hoorde dat we nu opeens rente moeten betalen over lenen, zeggen jullie dat ik dan beter niet kan lenen als het niet nodig is?"
kan ik het geld van DUO ook gebruiken voor me sport als ik het verder niet echt nodig heb?
 Hoe kom ik het beste in contact met nieuwe mensen van mijn studie?
Wat voor activiteiten organiseert een studievereniging?
Hoe vaak worden er door de studievereniging activiteiten georganiseerd?
mag ik vrienden meenemen naar feestjes van (naam club)
kunnen mijn vrienden ook lid worden van de studievereniging als ze de de opleiding/studie niet doen
kunnen mijn vriendinnen ook lid worden van de studievereniging als ze wel studeren maar niet mijn studie doen?
Moet je zelf een stage zoeken of krijg je daar hulp bij?
Krijg je een vergoeding voor je stage?
kan je een paar voorbeelden geven van stages bij deze opleiding?
Zijn er bepaalde stages waardoor ik een betere master kan kiezen 
kan ik een snuffelstage lopen bij jullie studievereniging 
kan ik een dagje meelopen bij jullie studieverenigin
Is scriptie moeillijk 
hoezo haat iedereen het schrijven van een criptie 
kan ik me nu al voorbereiden op me scriptie 
waar kan ik hulp krijgen bij het schrijven van een sriptie 
kan ik samen met iemand een scritie schrijven 
mag ik me scriptie docent kiezen 
mag ik zelf een scriptie ondezoke kiezen of wordt dit voor mij gedaan 
kan ik alle minoren doen ook buiten de studierichting 
kan ik in het buitenland me scripte.minor/stage doen → raden jullie dit aan of niet → welke landen en uni’s raden jullie aan → 
welke minor is kut of moeilijk 
worden me reiskosten vergoed als ik een mnor doe bij een andere stduie of universitit
wat zijn de beste masters na (x) studie 
welke master raden jullie echt af om te doen zomenteen 
klopt het dat iedereen die (studie x) doet ook (x) wordt later?
Waar kan ik het beste mijn studieboeken kopen?
Waar kan ik het beste mijn laptop kopen?
Krijgen studenten korting op studiemateriaal
Welke boeken hoef ik allemaal niet te kopen die grats online zijn
kan ik ook me boeken in pdf aanschaffen 
kan ik me boeken delen met iemand (want ik hoorde dat ze super duur waren)
kan ik lesmateriaal kosten delen met een vriendin 
"zijn er gratis laptops, ik weet de de HvA deze wel aanbiedt "
"Ik heb een tablet maar kan niet echt een laptop kopen, kan ik dan wel studeren en hoe moet ik dat doen, en wat als ik dit niet kan…"
"me vader zij dat hij mijn studiemateriaal kon afschrijvenen de bonnetjes hiervoor wil, klopt dit? "
kunnen ik en me broertje college geld afschrijven van e belastingdienst 
waar kan ik het beste 2e hands boeken kopen 
zijn er oudere jaars studenten die hun boeken verkopebn goedkoop 
hoe schaf ik een microsoft apkket aan voor studenten 
"ik heb al word en powerpoiint, moet ik dan nog betalen voor die van school "
 Hoe wordt er tijdens de studie omgegaan met ondersteuning voor studenten die dat nodig hebben? Bijv. dyslexie
Wat als ik mezelf niet tot studeren kan zetten (en hirdoor me tentamens niet haal)
ik kan me vaak niet goed concetreren in grote groepen waar kan ik dat het beste werken 
Waar kan je leren als je niet goed thiuis kunt leren door drukte en geen eigen kamer
"ik heb dyslexie, kan je dan ook extra tijd krijgen bij toetsen?"
het klopt toch dat je extra tijd kan krijgen als je autistisch ben? 
"Ik heb last van black-outs, moet ik dit aangeven bij me docent → kan ik hier hulp voor krijgen →"
wat voor maatregelen kunnen genomen worden bij iemand met een beperking?
 als je niet naar de universiteit kan door een beperking kan je dan wel thuis de hoorcolleges terugkijken
als ik naar de uni kan door een beperking vervalt voor mij dan de verplichte aanwezigheid?
Is er financiele compensatie bij deze universiteit om het studeren met een functieveperking te vergemakkelijken? ik heb namelijk iets gehoord over profileringsfonds?
waar kahn ik het best informatie vinden over studeren met een fuctiebeperking?
kan ik een persoonlijk gesprek aanvragen om te melden dat ik een fuctiebeperking heb?  En hoe kan ik dit het beste doen?
waar of bij wie kan ik terecht voor vragen over studeren met een fucntiebeperking?
is er begrip vanuit de universiteit voor studenten met een fuctiebeperking?
hoe kan ik me het beste voorbereiden op de NF ← voorbereidende activiteiten (wat allemaal)
wat is het moeilijste aan de NF (automaticeren naam bachelor) 
wie kan ik het beste om hulp vragen (voor een goede motivatiebrief) als ik hier niemand voor ken 
hievaak mag ik me aanmleden hiervoor 
mag ik me bij verschillende steden inschrijven voor een NF zoals (lijden en amsterdam) 
welke studies zijn dit jaar NF geworden?
hoe weet ik of ik ben binnengekomen op een NF studie en wanneer krijgen we dit te horen?
in hoeverre zijn docenten betrokken bij studentren binnen deze studie?
is de begeleiding van de docenten afdoende tijfens deze studie of moet je veel zelf uitzoeken?
geven docenten je de gelegenheid dat het prettig is om vragen te stellen?
wordt je tijdens deze opleiding geinspireerd door de docenten?
zijn de docenten makkelijk om mee te praten
zijn er docenten die slecht les geven 
wie is de leukste docent binnen deze studie
welke docent wil je echt als mentor hebben 
 wordt je goed begeleid door docenten (wordt je veel geholpen door docenten of mmoet je alles zelf doen op de studie)
welke docent wil je niet hebben als mentor 
kan je docenten makelijk bereiken als je dat nodig hebt 
staat de opleiding/docenten open voor feedback van studenten?
wordt gegeven feedback door docenten gewaardeerd?
is er een mogelijkheid voor studiebegeleiding als je er even niet uitkomt met studeren?
hoe is de kwaliteit van de studiebegeleiding binnen deze opleiding?
heb je een mentor
naar wie moet ik toe als ik hulp nodig heb 
welk vak is het gaafste 
welke periode is het moeilijkste 
welk studiejaar is het lastigste 
hoe is de decaan van de opleiding 
"als ik problemen heb thuis, zeggen jullie dat ik eerder naar mij SLB’er moet of eerder naar de decaan, of is er een vertrouwenspersoon "
hebben jullie een vertrouwenspersoon voor als het niet o lekker gaat 
klopt het dat de (studie) heel (x) is 
wat maakt de (studie) beter dan (y) 
het klopt toch dat de opleiding je na je propedeuse niet zomaar van de studie af kan zetten 
kan je geschorst worden als student op de (naam)
waarom bieden jullie geen x/y 
is er de mogelijkheid om je tijdens je studie te verbreden of verdiepen?
is de opleding uitdagend voor leergierige studenten?
"is er binnen de opleiding ruimte om zelf vorm te geven aan je rooster, door bijv. keuzevakken, etc. "
hoe wordt over het algemeen  de studiedruk van deze opleiding ervaren?
klopt het dat de opleiding erg blank → donker is 
klopt het dat de opleiding heel divers is klopt het dat de VU diversere is dan d UvA 
"ik lees overal dat de x doet aan kansgelijkheid, wat betekent dit nou echt "
ik lees dat de x heel erg doet aan inclusiviteit en diversiteit hoe doen jullie dat dan?
"wat moet ik doen als een klasgenoot me lastigvalt, bij wie moet ik zijn.."
"ik ben non-binair en ik wil graag deze studie volgen, zijn er meerdere non-binaire studenten op deze opeleiding?"
hoe wordt er met sensitieve onderwerpen omgegaan
hoe wordt omgegaan met bepaalde groepen studentren die tot de minderheid behoren ?
"wat betekend inclusiviteit binnen deze opleidingen, welke initatieven worden genomen?"
welke iniatieven worden genomen om de inclusiviteit binnen de opleiding te waarborgen
wordt er bij vakken ook aandacht besteed aan inclusiviteit
"is de (insert universiteit) duurzaam, en op welke manier?"
hoe wordt bij deze opleiding inclusief onderwijs mogelijk gemaakt?
is er een contactpersoon binnen deze opleiding waar je mee kan praten als je buitengesloten voelt?
moet ik een bijbaan 
In hoe verre is deze studie met een bijbaan te combineren?
kan ik een bijbaan nemen naast me studie of ben ik dan heel veel tijd kwijt 
"me broer zegt dat een bijbaan naast me stude een slecht idee is, en dat ik gewoon moet lenen van DUO klopt dit "
Hebben jullie leuke bijbaantjes die ik kan doen naast school 
wat zijn goed betaalde bijnbaantjes voor WO-studenten
kan ik al vrijwilligerswerk doen zodat ik eerder wordt aangenome 
welk vrijwilligerswerk raden jullie aan 
wat zijn de beste cursussen voordat ik (naam club) ga doen 
"ik denk niet dat ik vriwjilligerswerk, een bijbaan en school kan combineren maakt dit uit voor me carriere kansen zometneen "
kan ik me via jullie ook inschrijven voor me studie 
waar kan ik zien waar de lokalen zijn 
is er een helpdesk op school 
heb ik voorrang als ik buitenlands ben op de toelating van een studie 
kan school helpen met me stidentenwoning 
kunnen jullie helpen met het vinden van een studentenkamer 
helpen jullie elkaar me studentenkamers 
wat kost een studentenkamer echt?
"krijg ik voorrang als ik (maar 1 ouder heb, geen geld heb, ben geadopteerd, een functiebeperking heb)"
wordt er campus huisvestinga angeboden 
klopt het dat je meer geld krijgt als je uitwonend student bent ipv als je nog thuiswoont?
is het duur om lid te worden bij jullie studieverening
moet ik een ontgroening doen om lid te worden 
"waarom zou ik lid worden, welke voordelen biedt het ?"
krijg ik korting op studiemateriaal als ik lid wordt 
doet de studieverneging alleen studie gerelateerde bijeenkosten of ook gewoon leuke feestjes 
wat voor soort mensen doen mee aan jullie studieverneging 
is (naam club) beter ddan die van de (naam UvA) 
wat is het verschil tussen (naam club) en het koor (Core?) s
wat is het verschil tussen (club naam) en een iedere studentenverneging in Amsterdam 
kan ik werken bij de studieverneging
welk loon krijg ik als ik werk bij de studieverneing  
wordt de introductieweek georganiseerd door de studievereniging?
is het goed om naar de introductieweek te gaan? of wordt er alleen maar gefeest?
wat wordt er gedaan tijdens de introductieweek?
wanneer is de introductieweek?
