,company
83,"['Emergo Textile Projects (ETP) · Part-time', 'Saxion Lectoraat Sustainable & Functional Textiles  · Internship', 'MAGIC Bodyfashion · Internship', 'Emergo Textile Projects (ETP) · Internship']"
84,"[""Master's Degree, Financial and Teaching Mathematics"", ""Master's degree, Mathematics and Statistics"", 'CAE, English Language']"
85,"[""Master's Degree, Theoretical Physics"", 'Honours programme, Young Leaders League', 'Erasmus Exchange, Theoretical Physics']"
86,"['8 yrs 11 mos', 'Lyft', 'homemade server', 'North Carolina High School Athletics Association', 'Recreational Sports in Fayetteville']"
87,"['2 yrs 1 mo', 'Full-time', 'AlisonIdeas · Freelance', 'Verbier Art Summit', 'National Network of Abortion Funds', 'Brookline Learning Center']"
88,"['Eindhoven University of Technology', 'Eindhoven University of Technology', 'Eindhoven University of Technology']"
89,"[""Master's degree, Aerodynamics"", 'Minor, Modern Physics', ""Bachelor's degree, Aerospace Engineering""]"
90,"['Technische Universiteit Delft · Full-time', 'Leiden Science - Universiteit Leiden · Part-time', '6 yrs 1 mo', 'Full-time', 'Part-time', 'Part-time', 'Lorentz Center', 'Leiden Science - Universiteit Leiden']"
91,"['Milence · Full-time', 'KLM Royal Dutch Airlines · Full-time', 'Tata Consultancy Services · Full-time', 'GLI Europe B.V.', 'Lingayas University, Faridabad']"
92,"['Emergo Textile Projects (ETP) · Part-time', 'Saxion Lectoraat Sustainable & Functional Textiles  · Internship', 'MAGIC Bodyfashion · Internship', 'Emergo Textile Projects (ETP) · Internship']"
93,"[""Master's Degree, Financial and Teaching Mathematics"", ""Master's degree, Mathematics and Statistics"", 'CAE, English Language']"
94,"[""Master's Degree, Theoretical Physics"", 'Honours programme, Young Leaders League', 'Erasmus Exchange, Theoretical Physics']"
95,"['8 yrs 11 mos', 'Lyft', 'homemade server', 'North Carolina High School Athletics Association', 'Recreational Sports in Fayetteville']"
96,"['2 yrs 1 mo', 'Full-time', 'AlisonIdeas · Freelance', 'Verbier Art Summit', 'National Network of Abortion Funds', 'Brookline Learning Center']"
97,"['Eindhoven University of Technology', 'Eindhoven University of Technology', 'Eindhoven University of Technology']"
98,"[""Master's degree, Aerodynamics"", 'Minor, Modern Physics', ""Bachelor's degree, Aerospace Engineering""]"
99,"['Technische Universiteit Delft · Full-time', 'Leiden Science - Universiteit Leiden · Part-time', '6 yrs 1 mo', 'Full-time', 'Part-time', 'Part-time', 'Lorentz Center', 'Leiden Science - Universiteit Leiden']"
