,company
42,"['Eindhoven University of Technology', 'Eindhoven University of Technology', 'Eindhoven University of Technology']"
43,"[""Master's degree, Aerodynamics"", 'Minor, Modern Physics', ""Bachelor's degree, Aerospace Engineering""]"
44,"['Technische Universiteit Delft · Full-time', 'Leiden Science - Universiteit Leiden · Part-time', '6 yrs 1 mo', 'Full-time', 'Part-time', 'Part-time', 'Lorentz Center', 'Leiden Science - Universiteit Leiden']"
45,"['Milence · Full-time', 'KLM Royal Dutch Airlines · Full-time', 'Tata Consultancy Services · Full-time', 'GLI Europe B.V.', 'Lingayas University, Faridabad']"
46,"['Emergo Textile Projects (ETP) · Part-time', 'Saxion Lectoraat Sustainable & Functional Textiles  · Internship', 'MAGIC Bodyfashion · Internship', 'Emergo Textile Projects (ETP) · Internship']"
47,"[""Master's Degree, Financial and Teaching Mathematics"", ""Master's degree, Mathematics and Statistics"", 'CAE, English Language']"
48,"[""Master's Degree, Theoretical Physics"", 'Honours programme, Young Leaders League', 'Erasmus Exchange, Theoretical Physics']"
49,"['8 yrs 11 mos', 'Lyft', 'homemade server', 'North Carolina High School Athletics Association', 'Recreational Sports in Fayetteville']"
50,"['2 yrs 1 mo', 'Full-time', 'AlisonIdeas · Freelance', 'Verbier Art Summit', 'National Network of Abortion Funds', 'Brookline Learning Center']"
51,"['Eindhoven University of Technology', 'Eindhoven University of Technology', 'Eindhoven University of Technology']"
52,"[""Master's degree, Aerodynamics"", 'Minor, Modern Physics', ""Bachelor's degree, Aerospace Engineering""]"
53,"['Technische Universiteit Delft · Full-time', 'Leiden Science - Universiteit Leiden · Part-time', '6 yrs 1 mo', 'Full-time', 'Part-time', 'Part-time', 'Lorentz Center', 'Leiden Science - Universiteit Leiden']"
54,"['Milence · Full-time', 'KLM Royal Dutch Airlines · Full-time', 'Tata Consultancy Services · Full-time', 'GLI Europe B.V.', 'Lingayas University, Faridabad']"
55,"['Emergo Textile Projects (ETP) · Part-time', 'Saxion Lectoraat Sustainable & Functional Textiles  · Internship', 'MAGIC Bodyfashion · Internship', 'Emergo Textile Projects (ETP) · Internship']"
56,"[""Master's Degree, Financial and Teaching Mathematics"", ""Master's degree, Mathematics and Statistics"", 'CAE, English Language']"
