,company
38,"['ARTVENTURA B.V.', 'MME Hospitality', '3 yrs', 'Full-time', 'StudiJob', 'Lyceo']"
39,"['WellDoneData · Freelance', 'N/a · Self-employed', 'Bistro Bar Binnenrotte · Part-time']"
40,"['De Nederlandsche Bank · Full-time', 'European Central Bank', '2 yrs 11 mos', 'Católica Consulting Linked · Full-time', 'CGD']"
41,"['Superprof · Freelance', 'StudiJob · Part-time', 'Amsterdam University of Applied Sciences · Part-time', 'D&B The Mobility Group · Part-time', 'Part-time · 2 yrs 6 mos']"
42,"[""Bachelor's degree, Astronomy""]"
43,"['Technische Universiteit Delft', 'Technische Universität Dresden', 'Math and Computer Science, University of Antwerp']"
44,"['Bijlesbureau StudentsPlus Nederland · Part-time', 'AKO · Part-time', 'Rijk Zwaan · Part-time', 'OP=OP Voordeelshop · Part-time', 'Jumbo Supermarkten · Part-time']"
45,"['University of Amsterdam · Contract', 'AthenaStudies', 'Bijlesbureau StudentsPlus Nederland · Part-time', 'YoungOnes · Part-time', ""Domino's Pizza Nederland · Part-time""]"
46,"['2 yrs 1 mo', 'Internship', 'Internship', 'Part-time', 'Part-time · 2 yrs']"
47,['Mevlüt’s recent posts and comments will be displayed here.']
48,"['Leiden University · Contract', 'Stichting Studiebegeleiding Leiden · Contract', 'Freelance', 'debijlesmeester · Freelance']"
49,"['LionVolt B.V. · Full-time', 'Technische Universiteit Delft · Full-time', 'University of Birmingham · Full-time', '5 yrs', 'Holst Centre']"
